ID	Sex	Pack	Birth Date		Estimated birth date
TF285	F	2	24-Jun-10		
TM286	M	2	24-Jun-10		
TF297	F	2	21-Apr-12		
TF298	F	2	21-Apr-12		
TF299	F	2	21-Apr-12		
TM300	M	2	21-Apr-12		
TM304	M	2	21-Apr-12		
TM307	M	2	21-Apr-12		
TM312	M	2	21-Apr-12		
TM317	M	2	06-Jul-12		
TF319	F	2	06-Jul-12		
TF321	F	2	06-Jul-12		
TF322	F	2	06-Jul-12		
TM323	M	2	06-Jul-12		
TF334	F	2	26-Jan-13		
TM335	M	2	26-Jan-13		
TM363	M	2	28-Sep-13		
TF372	F	2	25-Jul-14		
TM373	M	2	25-Jul-14		
TF374	F	2	25-Jul-14		
TF376	F	2	25-Jul-14		
TF377	F	2	25-Jul-14		
TM378	M	2	25-Jul-14		
TM379	M	2	25-Jul-14		
TM380	M	2	25-Jul-14		
TF381	F	2	25-Jul-14		
TM382	M	2	25-Jul-14		
TM383	M	2	25-Jul-14		
VM096	M	21	09-Oct-08		
VM135	M	21	15-Oct-12		
VM136	M	21	15-Oct-12		
VF139	F	21	01-Jan-12		Y
VF140	F	21	01-Jan-12		Y
VF141	F	21	01-Jan-12		Y
VF142	F	21	01-Jan-12		Y
VF143	F	21	01-Jan-12		Y
VF152	F	21	05-May-14		
VF153	F	21	05-May-14		
VF154	F	21	05-May-14		
VM155	M	21	05-May-14		
VF156	F	21	05-May-14		
FM176	M	4B	01-Jan-11		Y
FM178	M	4B	01-Jan-11		Y
FM188	M	4B	07-Apr-11		
FM191	M	4B	07-Apr-11		
FF196	F	4B	28-Oct-11		
FF206	F	4B	01-Jan-12		Y
FF207	F	4B	01-Jan-12		Y
FF208	F	4B	01-Jan-12		Y
FF209	F	4B	01-Jan-12		Y
MM002	M	4E	01-Jan-12		Y
MM004	M	4E	01-Jan-12		Y
MM007	M	4E	20-Jun-14		
FF165	F	4E	10-Jan-10		
FF187	F	4E	07-Apr-11		
FF190	F	4E	07-Apr-11		
GM049	M	7A	22-Oct-07		
GM060	M	7A	05-May-09		
GM061	M	7A	05-May-09		
GM065	M	7A	23-Jul-09		
GM080	M	7A	26-Apr-10		
GM082	M	7A	26-Apr-10		
GM087	M	7A	28-Nov-10		
GM089	M	7A	28-Nov-10		
GM090	M	7A	06-Apr-11		
GF092	F	7A	06-Apr-11		
GF093	F	7A	06-Apr-11		
GF096	F	7A	12-Jul-11		
GF100	F	7A	22-Oct-11		
GM105	M	7A	16-Jun-12		
GF106	F	7A	16-Jun-12		
GM112	M	7A	01-Dec-12		
GM115	M	7A	01-Dec-12		
GM117	M	7A	22-Apr-13		
